lambda n k
1.300999999999999943e+02 2.149000000000000021e+00 7.016499999999999959e-01
1.307099999999999795e+02 2.148000000000000131e+00 6.905999999999999917e-01
1.313199999999999932e+02 2.146599999999999842e+00 6.801599999999999868e-01
1.319399999999999977e+02 2.145000000000000018e+00 6.703599999999999559e-01
1.325600000000000023e+02 2.143200000000000216e+00 6.612299999999999844e-01
1.331899999999999977e+02 2.141500000000000181e+00 6.527500000000000524e-01
1.338199999999999932e+02 2.139800000000000146e+00 6.449099999999999833e-01
1.344699999999999989e+02 2.138300000000000090e+00 6.376699999999999591e-01
1.351100000000000136e+02 2.137100000000000222e+00 6.309500000000000108e-01
1.357700000000000102e+02 2.136299999999999866e+00 6.246800000000000130e-01
1.364300000000000068e+02 2.135800000000000143e+00 6.187700000000000422e-01
1.370999999999999943e+02 2.135800000000000143e+00 6.131100000000000438e-01
1.377700000000000102e+02 2.136299999999999866e+00 6.075700000000000545e-01
1.384499999999999886e+02 2.137199999999999989e+00 6.020600000000000396e-01
1.391400000000000148e+02 2.138500000000000068e+00 5.964599999999999902e-01
1.398300000000000125e+02 2.140200000000000102e+00 5.906700000000000284e-01
1.405300000000000011e+02 2.142100000000000115e+00 5.846299999999999830e-01
1.412400000000000091e+02 2.144200000000000106e+00 5.782699999999999507e-01
1.419600000000000080e+02 2.146199999999999886e+00 5.715599999999999570e-01
1.426800000000000068e+02 2.148200000000000109e+00 5.645299999999999763e-01
1.434099999999999966e+02 2.149900000000000144e+00 5.571899999999999631e-01
1.441399999999999864e+02 2.151299999999999990e+00 5.496299999999999519e-01
1.448899999999999864e+02 2.152299999999999880e+00 5.419399999999999773e-01
1.456399999999999864e+02 2.152699999999999836e+00 5.342500000000000027e-01
1.464000000000000057e+02 2.152499999999999858e+00 5.267100000000000115e-01
1.471699999999999875e+02 2.151600000000000179e+00 5.194900000000000073e-01
1.479499999999999886e+02 2.150199999999999889e+00 5.128000000000000336e-01
1.487299999999999898e+02 2.148099999999999898e+00 5.068200000000000482e-01
1.495300000000000011e+02 2.145599999999999952e+00 5.017599999999999838e-01
1.503299999999999841e+02 2.142599999999999838e+00 4.978500000000000147e-01
1.511399999999999864e+02 2.139400000000000190e+00 4.952799999999999980e-01
1.519600000000000080e+02 2.136099999999999888e+00 4.942699999999999871e-01
1.527900000000000205e+02 2.133000000000000007e+00 4.950200000000000156e-01
1.536200000000000045e+02 2.130300000000000082e+00 4.976900000000000213e-01
1.544699999999999989e+02 2.128400000000000070e+00 5.023900000000000032e-01
1.553200000000000216e+02 2.127299999999999969e+00 5.091200000000000170e-01
1.561899999999999977e+02 2.126599999999999824e+00 5.175600000000000200e-01
1.570600000000000023e+02 2.123699999999999921e+00 5.290399999999999547e-01
1.579500000000000171e+02 2.116000000000000103e+00 5.507600000000000273e-01
1.588400000000000034e+02 2.112400000000000055e+00 5.975099999999999856e-01
1.597500000000000000e+02 2.142300000000000093e+00 6.667399999999999993e-01
1.606700000000000159e+02 2.201900000000000190e+00 7.325099999999999945e-01
1.615900000000000034e+02 2.322499999999999787e+00 8.329299999999999482e-01
1.625300000000000011e+02 2.585500000000000131e+00 8.221899999999999764e-01
1.634799999999999898e+02 2.781899999999999817e+00 6.185100000000000042e-01
1.644300000000000068e+02 2.818999999999999950e+00 3.611599999999999810e-01
1.653999999999999773e+02 2.734100000000000197e+00 1.615499999999999992e-01
1.663900000000000148e+02 2.608499999999999819e+00 5.461400000000000282e-02
1.673799999999999955e+02 2.499299999999999855e+00 1.450500000000000053e-02
1.683799999999999955e+02 2.420199999999999907e+00 3.798399999999999953e-03
1.694000000000000057e+02 2.363399999999999945e+00 1.570999999999999914e-03
1.704300000000000068e+02 2.319900000000000073e+00 1.043199999999999987e-03
1.714699999999999989e+02 2.284499999999999975e+00 7.970400000000000531e-04
1.725300000000000011e+02 2.254500000000000171e+00 6.240100000000000377e-04
