lambda n k
250 2.150068 1.87156
255 2.228822 1.849784
260 2.298059 1.825043
265 2.358786 1.800023
270 2.412699 1.776661
275 2.461798 1.756041
280 2.508039 1.738451
285 2.553103 1.723556
290 2.598253 1.710594
295 2.6443 1.698573
300 2.691616 1.686441
305 2.740191 1.673208
310 2.789715 1.65804
315 2.839661 1.640316
320 2.88937 1.619655
325 2.938139 1.595918
330 2.985285 1.56919
335 3.030209 1.539753
340 3.072436 1.508032
345 3.111642 1.474553
350 3.147666 1.439887
355 3.180502 1.404609
360 3.21029 1.369249
365 3.237284 1.334263
370 3.26183 1.300014
375 3.284334 1.266752
380 3.305228 1.234609
385 3.324941 1.203604
390 3.343872 1.173649
395 3.362367 1.14456
400 3.380696 1.116077
405 3.399039 1.087887
410 3.417476 1.059649
415 3.435984 1.03102
420 3.45444 1.001684
425 3.472636 0.971378
430 3.490294 0.939912
435 3.507091 0.907184
440 3.52269 0.873186
445 3.536764 0.838007
450 3.549019 0.801816
455 3.559218 0.764853
460 3.567193 0.7274
465 3.572849 0.689769
470 3.576162 0.652271
475 3.577176 0.615208
480 3.575991 0.578852
485 3.57275 0.543438
490 3.567624 0.50916
495 3.560806 0.476169
500 3.552496 0.444575
505 3.542893 0.41445
510 3.53219 0.385832
515 3.520567 0.358734
520 3.508192 0.333144
525 3.495216 0.309033
530 3.481774 0.286359
535 3.467986 0.265069
540 3.453954 0.245106
545 3.439769 0.226407
550 3.425507 0.208907
555 3.411234 0.192542
560 3.397005 0.177248
565 3.382865 0.162963
570 3.368854 0.149627
575 3.355002 0.137183
580 3.341334 0.125575
585 3.327873 0.114755
590 3.314633 0.104672
595 3.301629 0.095281
600 3.28887 0.086542
605 3.276363 0.078413
610 3.264114 0.070858
615 3.252127 0.063844
620 3.240403 0.057338
625 3.228943 0.051311
630 3.217749 0.045736
635 3.206819 0.040586
640 3.196151 0.035839
645 3.185745 0.031472
650 3.175599 0.027465
655 3.165711 0.023798
660 3.156077 0.020455
665 3.146697 0.017418
670 3.137568 0.014672
675 3.128687 0.012203
680 3.120054 0.009997
685 3.111667 0.008041
690 3.103524 0.006325
695 3.095625 0.004837
700 3.087971 0.003567
705 3.080561 0.002504
710 3.073398 0.001641
715 3.066486 0.000968
720 3.05983 0.000477
725 3.053441 0.000162
730 3.047341 0.000014
735 3.041588 0
740 3.03616 0
745 3.030984 0
750 3.02603 0
755 3.021274 0
760 3.0167 0
765 3.012295 0
770 3.008045 0
775 3.003942 0
780 2.999976 0
785 2.996139 0
790 2.992424 0
795 2.988825 0
800 2.985334 0
805 2.981948 0
810 2.978661 0
815 2.975468 0
820 2.972366 0
825 2.969349 0
830 2.966415 0
835 2.96356 0
840 2.96078 0
845 2.958073 0
850 2.955435 0
855 2.952865 0
860 2.950359 0
865 2.947914 0
870 2.94553 0
875 2.943202 0
880 2.94093 0
885 2.938712 0
890 2.936545 0
895 2.934428 0
900 2.932359 0
905 2.930337 0
910 2.928359 0
915 2.926425 0
920 2.924534 0
925 2.922683 0
930 2.920871 0
935 2.919098 0
940 2.917362 0
945 2.915662 0
950 2.913997 0
955 2.912366 0
960 2.910767 0
965 2.909201 0
970 2.907666 0
975 2.90616 0
980 2.904685 0
985 2.903237 0
990 2.901818 0
995 2.900425 0
1000 2.899059 0
1005 2.897718 0
1010 2.896402 0
1015 2.89511 0
1020 2.893842 0
1025 2.892596 0
1030 2.891373 0
1035 2.890172 0
1040 2.888992 0
1045 2.887833 0
1050 2.886695 0
1055 2.885575 0
1060 2.884476 0
1065 2.883394 0
1070 2.882332 0
1075 2.881287 0
1080 2.880259 0
1085 2.879249 0
1090 2.878255 0
1095 2.877278 0
1100 2.876316 0
1105 2.87537 0
1110 2.87444 0
1115 2.873524 0
1120 2.872622 0
1125 2.871736 0
1130 2.870862 0
1135 2.870003 0
1140 2.869156 0
1145 2.868323 0
1150 2.867502 0
1155 2.866694 0
1160 2.865898 0
1165 2.865114 0
1170 2.864342 0
1175 2.863581 0
1180 2.862832 0
1185 2.862093 0
1190 2.861366 0
1195 2.860648 0
1200 2.859942 0
1205 2.859245 0
1210 2.858558 0
1215 2.857881 0
1220 2.857213 0
1225 2.856555 0
1230 2.855906 0
1235 2.855266 0
1240 2.854635 0
1245 2.854013 0
1250 2.853399 0
1255 2.852793 0
1260 2.852196 0
1265 2.851606 0
1270 2.851025 0
1275 2.850451 0
1280 2.849885 0
1285 2.849326 0
1290 2.848775 0
1295 2.84823 0
1300 2.847693 0
1305 2.847163 0
1310 2.84664 0
1315 2.846123 0
1320 2.845613 0
1325 2.845109 0
1330 2.844612 0
1335 2.844121 0
1340 2.843636 0
1345 2.843158 0
1350 2.842685 0
1355 2.842218 0
1360 2.841756 0
1365 2.841301 0
1370 2.840851 0
1375 2.840406 0
1380 2.839966 0
1385 2.839532 0
1390 2.839103 0
1395 2.83868 0
1400 2.838261 0
1405 2.837847 0
1410 2.837438 0
1415 2.837034 0
1420 2.836634 0
1425 2.836239 0
1430 2.835849 0
1435 2.835463 0
1440 2.835082 0
1445 2.834705 0
1450 2.834332 0
1455 2.833963 0
1460 2.833599 0
1465 2.833238 0
1470 2.832882 0
1475 2.83253 0
