lambda n k
250 1.615355 2.454247
255 1.742132 2.56048
260 1.92997 2.635495
265 2.145693 2.605267
270 2.267185 2.48286
275 2.282344 2.394897
280 2.274216 2.374618
285 2.280473 2.392926
290 2.30497 2.42736
295 2.344046 2.467486
300 2.394151 2.508944
305 2.452966 2.549931
310 2.51925 2.589653
315 2.592577 2.627605
320 2.673141 2.663166
325 2.761551 2.695236
330 2.858501 2.72189
335 2.964134 2.740127
340 3.077071 2.746057
345 3.193494 2.735995
350 3.307246 2.70842
355 3.411744 2.665579
360 3.502803 2.612989
365 3.580033 2.55691
370 3.645922 2.501925
375 3.703904 2.450182
380 3.756957 2.401961
385 3.807112 2.356592
390 3.855529 2.313116
395 3.902747 2.270633
400 3.948923 2.228431
405 3.994007 2.186002
410 4.037852 2.143018
415 4.080271 2.09929
420 4.121082 2.054735
425 4.160116 2.009348
430 4.197232 1.963178
435 4.23232 1.916312
440 4.265297 1.868859
445 4.296107 1.820945
450 4.32472 1.772702
455 4.351128 1.724265
460 4.375342 1.675767
465 4.397392 1.627336
470 4.417318 1.579094
475 4.435176 1.531154
480 4.45103 1.48362
485 4.46495 1.436588
490 4.477013 1.390143
495 4.487301 1.344361
500 4.495898 1.299308
505 4.502888 1.255041
510 4.508359 1.21161
515 4.512394 1.169055
520 4.515079 1.12741
525 4.516497 1.086701
530 4.516727 1.046948
535 4.515849 1.008166
540 4.513936 0.970366
545 4.511061 0.933551
550 4.507293 0.897723
555 4.502697 0.862879
560 4.497336 0.829014
565 4.491269 0.796119
570 4.484553 0.764184
575 4.477238 0.733197
580 4.469375 0.703143
585 4.461011 0.674006
590 4.452188 0.645771
595 4.44295 0.618419
600 4.433332 0.591933
605 4.423372 0.566294
610 4.413102 0.541482
615 4.402554 0.51748
620 4.391758 0.494266
625 4.38074 0.471822
630 4.369525 0.450129
635 4.358137 0.429168
640 4.346599 0.40892
645 4.33493 0.389366
650 4.323149 0.370487
655 4.311274 0.352267
660 4.299322 0.334687
665 4.287308 0.317731
670 4.275246 0.301381
675 4.263149 0.285622
680 4.251029 0.270437
685 4.238899 0.255812
690 4.226769 0.24173
695 4.214648 0.228179
700 4.202547 0.215142
705 4.190473 0.202608
710 4.178435 0.190563
715 4.166441 0.178994
720 4.154498 0.167888
725 4.142611 0.157234
730 4.130789 0.147021
735 4.119037 0.137236
740 4.107359 0.12787
